,SalePrice
OverallQual,0.7909816005838047
AllSF,0.7789588289942269
AllFlrsSF,0.7168830793692821
GrLivArea,0.7086244776126511
1stFlr_2ndFlr_Sf,0.7005684441204879
All_Liv_SF,0.6865328257931084
ExterQual,0.6826392416562591
SimplOverallQual,0.6626526036944024
KitchenQual,0.6595997207286572
GarageCars,0.640409197258349
TotalBath,0.6317310679319897
GarageScore,0.6245723901649759
GarageArea,0.6234314389183598
SimplExterQual,0.6153177591707283
TotalBsmtSF,0.6135805515591944
1stFlrSF,0.6058521846919166
SimplGarageScore,0.6030040069093662
BsmtQual,0.5852071991725148
ExterGrade,0.5762873222266643
SimplKitchenQual,0.5710177201816803
OverallGrade,0.5652938448019182
FullBath,0.5606637627484452
SimplBsmtQual,0.5337995322813479
TotRmsAbvGrd,0.5337231555820238
YearBuilt,0.5228973328794967
FireplaceQu,0.5204376059504007
FireplaceScore,0.5100430093768921
YearRemodAdd,0.5071009671113867
Foundation_PConc,0.4977337525869438
SimplFireplaceQu,0.49449613559431543
SimplKitchenScore,0.49136736257847685
SimplFireplaceScore,0.48814490389775084
GarageYrBlt,0.48636167748786213
MasVnrArea,0.47261449900457725
SimplOverallGrade,0.4707844121765209
SimplExterGrade,0.4692331720204966
Fireplaces,0.4669288367515242
